,beer_name,rating,link
221,Coolship Red,4.49,https://www.beeradvocate.com/beer/profile/4/58839/
222,Imperial Eclipse Stout - Elijah Craig (12 Year),4.47,https://www.beeradvocate.com/beer/profile/14936/55063/
223,Juicy,4.49,https://www.beeradvocate.com/beer/profile/22511/87341/
224,Space Trace,4.52,https://www.beeradvocate.com/beer/profile/33824/221353/
225,Sang Noir,4.47,https://www.beeradvocate.com/beer/profile/2391/56266/
226,Vicinity,4.47,https://www.beeradvocate.com/beer/profile/30654/145496/
227,Jackie O's / Side Project - Appervation,4.54,https://www.beeradvocate.com/beer/profile/1432/281369/
228,Bourbon Barrel Champion Ground,4.49,https://www.beeradvocate.com/beer/profile/1432/187700/
229,Nelson,4.46,https://www.beeradvocate.com/beer/profile/3120/32286/
230,Peche 'n Brett,4.47,https://www.beeradvocate.com/beer/profile/25710/81079/
231,Schaerbeekse Kriek,4.48,https://www.beeradvocate.com/beer/profile/2216/17647/
232,All That Is And All That Ever Will Be,4.51,https://www.beeradvocate.com/beer/profile/28743/249986/
233,Surly / Amager - Todd The Axe Man,4.46,https://www.beeradvocate.com/beer/profile/13014/138735/
234,Coconut B-Bomb,4.54,https://www.beeradvocate.com/beer/profile/20680/315318/
235,Double Dry Hopped Sleeper Street,4.47,https://www.beeradvocate.com/beer/profile/30654/156082/
236,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,4.49,https://www.beeradvocate.com/beer/profile/28019/157616/
237,Expedition Stout - Bourbon Barrel-Aged,4.48,https://www.beeradvocate.com/beer/profile/287/130990/
238,Weihenstephaner Hefeweissbier,4.45,https://www.beeradvocate.com/beer/profile/252/731/
239,Blanc De Blancs,4.52,https://www.beeradvocate.com/beer/profile/32319/130409/
240,Darkstar November,4.48,https://www.beeradvocate.com/beer/profile/33824/143023/
241,Mastermind,4.46,https://www.beeradvocate.com/beer/profile/27919/99011/
242,Double Orange Starfish,4.5,https://www.beeradvocate.com/beer/profile/42560/236710/
243,Dorothy (Wine Barrel Aged),4.54,https://www.beeradvocate.com/beer/profile/22511/239223/
244,Medianoche - Coconut,4.61,https://www.beeradvocate.com/beer/profile/38773/218283/
245,Enjoy By IPA,4.44,https://www.beeradvocate.com/beer/profile/147/84596/
246,Scaled Up,4.46,https://www.beeradvocate.com/beer/profile/30654/206204/
247,Dragonsaddle,4.5,https://www.beeradvocate.com/beer/profile/30179/113655/
248,Flora - Blueberry,4.52,https://www.beeradvocate.com/beer/profile/22511/116480/
249,Madagascar,4.46,https://www.beeradvocate.com/beer/profile/27870/112968/
